pass_no,out_acco,exch_no,stock_code,order_id,report_date,report_time,report_no,wtdraw_qty
1,4646pd078,2,300500,285586,20191009,100000,G285586,200.00
1,4242pd037,2,000632,285587,20191009,100000,G285587,200.00
1,4545pd006,1,601866,285588,20191009,100000,G285588,200.00
1,4747pd065,2,300518,285589,20191009,100000,G285589,200.00
1,4141pd1,1,603826,285590,20191009,100000,G285590,200.00
1,4646pd051,2,300313,285591,20191009,100000,G285591,200.00
1,4141pd095,2,000839,285592,20191009,100000,G285592,200.00
1,4141pd078,2,002210,285593,20191009,100000,G285593,200.00
1,4141pd014,1,603023,285594,20191009,100000,G285594,200.00
1,4444pd013,1,600836,285595,20191009,100000,G285595,200.00
1,4040pd042,1,600998,285596,20191009,100000,G285596,200.00
1,4949pd077,2,300059,285597,20191009,100000,G285597,200.00
1,4646pd099,1,603117,285598,20191009,100000,G285598,200.00
1,4141pd014,2,000060,285599,20191009,100000,G285599,200.00
1,4040pd013,2,300238,285600,20191009,100000,G285600,200.00
1,4242pd060,2,000852,285601,20191009,100000,G285601,200.00
1,4040pd023,2,300245,285602,20191009,100000,G285602,200.00
1,4343pd021,1,600439,285603,20191009,100000,G285603,200.00
1,4343pd064,2,002471,285604,20191009,100000,G285604,200.00
1,4848pd096,1,601006,285605,20191009,100000,G285605,200.00
1,4747pd009,2,300067,285606,20191009,100000,G285606,200.00
1,4343pd029,2,000801,285607,20191009,100000,G285607,200.00
1,4242pd4,2,000898,285608,20191009,100000,G285608,200.00
1,4545pd009,2,002214,285609,20191009,100000,G285609,200.00
1,4949pd019,2,002908,285610,20191009,100000,G285610,200.00
1,4949pd083,2,300762,285611,20191009,100000,G285611,200.00
1,4242pd050,1,600121,285612,20191009,100000,G285612,200.00
1,4747pd050,1,603588,285613,20191009,100000,G285613,200.00
1,4141pd056,1,600196,285614,20191009,100000,G285614,200.00
1,4747pd086,1,603678,285615,20191009,100000,G285615,200.00
1,4545pd091,2,000055,285616,20191009,100000,G285616,200.00
1,4747pd009,1,603818,285617,20191009,100000,G285617,200.00
1,4444pd055,1,601006,285618,20191009,100000,G285618,200.00
1,4444pd055,2,300245,285619,20191009,100000,G285619,200.00
1,4040pd031,2,300117,285620,20191009,100000,G285620,200.00
1,4747pd009,2,002779,285621,20191009,100000,G285621,200.00
1,4747pd009,1,601211,285622,20191009,100000,G285622,200.00
1,4141pd056,2,000632,285623,20191009,100000,G285623,200.00
1,4646pd027,2,300335,285624,20191009,100000,G285624,200.00
1,4444pd063,1,600018,285625,20191009,100000,G285625,200.00
1,4040pd001,1,601188,285626,20191009,100000,G285626,200.00
1,4040pd087,2,002563,285627,20191009,100000,G285627,200.00
1,4141pd096,1,601968,285628,20191009,100000,G285628,200.00
1,4141pd032,2,300757,285629,20191009,100000,G285629,200.00
1,4040pd096,2,300207,285630,20191009,100000,G285630,200.00
1,4040pd004,1,603297,285631,20191009,100000,G285631,200.00
1,4545pd050,2,300006,285632,20191009,100000,G285632,200.00
1,4949pd059,1,601068,285633,20191009,100000,G285633,200.00
1,4848pd029,2,002857,285634,20191009,100000,G285634,200.00
1,4747pd030,2,300429,285635,20191009,100000,G285635,200.00
1,4848pd085,2,300642,285636,20191009,100000,G285636,200.00
1,4444pd014,1,600838,285637,20191009,100000,G285637,200.00
1,4747pd082,2,002772,285638,20191009,100000,G285638,200.00
1,4444pd077,1,601005,285639,20191009,100000,G285639,200.00
1,4141pd045,1,601933,285640,20191009,100000,G285640,200.00
1,4040pd005,2,300067,285641,20191009,100000,G285641,200.00
1,4848pd085,2,300642,285642,20191009,100000,G285642,200.00
1,4545pd026,2,002396,285643,20191009,100000,G285643,200.00
1,4747pd077,2,002731,285644,20191009,100000,G285644,200.00
1,4545pd067,2,300029,285645,20191009,100000,G285645,200.00
1,4444pd037,2,002013,285646,20191009,100000,G285646,200.00
1,4848pd089,1,603980,285647,20191009,100000,G285647,200.00
1,4141pd065,2,000682,285648,20191009,100000,G285648,200.00
1,4242pd028,1,600012,285649,20191009,100000,G285649,200.00
1,4040pd065,2,300223,285650,20191009,100000,G285650,200.00
1,4444pd027,1,600891,285651,20191009,100000,G285651,200.00
1,4646pd078,2,300382,285652,20191009,100000,G285652,200.00
1,4646pd086,2,002721,285653,20191009,100000,G285653,200.00
1,4646pd047,2,002672,285654,20191009,100000,G285654,200.00
1,4040pd004,2,002436,285655,20191009,100000,G285655,200.00
1,4141pd095,1,601866,285656,20191009,100000,G285656,200.00
1,4545pd010,1,603878,285657,20191009,100000,G285657,200.00
1,4949pd068,1,603657,285658,20191009,100000,G285658,200.00
1,4848pd045,2,002853,285659,20191009,100000,G285659,200.00
1,4040pd046,2,002498,285660,20191009,100000,G285660,200.00
1,4141pd043,2,300735,285661,20191009,100000,G285661,200.00
1,4040pd073,2,300177,285662,20191009,100000,G285662,200.00
1,4646pd079,2,300003,285663,20191009,100000,G285663,200.00
1,4444pd013,2,300245,285664,20191009,100000,G285664,200.00
1,4040pd023,2,300245,285665,20191009,100000,G285665,200.00
1,4545pd054,2,300019,285666,20191009,100000,G285666,200.00
1,4747pd072,2,300516,285667,20191009,100000,G285667,200.00
1,4545pd050,2,300006,285668,20191009,100000,G285668,200.00
1,4747pd059,2,300500,285669,20191009,100000,G285669,200.00
1,4949pd019,2,002731,285670,20191009,100000,G285670,200.00
1,4949pd091,1,688009,285671,20191009,100000,G285671,200.00
1,4343pd029,1,600488,285672,20191009,100000,G285672,200.00
1,4141pd045,2,002471,285673,20191009,100000,G285673,200.00
1,4141pd057,2,000636,285674,20191009,100000,G285674,200.00
1,4141pd038,2,000548,285675,20191009,100000,G285675,200.00
1,4949pd082,2,300757,285676,20191009,100000,G285676,200.00
1,4848pd059,2,002011,285677,20191009,100000,G285677,200.00
1,4444pd4,1,600800,285678,20191009,100000,G285678,200.00
1,4141pd095,2,000838,285679,20191009,100000,G285679,200.00
1,4949pd051,1,603656,285680,20191009,100000,G285680,200.00
1,4343pd090,1,600742,285681,20191009,100000,G285681,200.00
1,4141pd071,2,000712,285682,20191009,100000,G285682,200.00
1,4545pd014,2,002237,285683,20191009,100000,G285683,200.00
1,4242pd037,1,600068,285684,20191009,100000,G285684,200.00
1,4141pd047,2,000948,285685,20191009,100000,G285685,200.00
1,4747pd041,2,002763,285686,20191009,100000,G285686,200.00
1,4747pd052,2,300547,285687,20191009,100000,G285687,200.00
1,4949pd059,2,002857,285688,20191009,100000,G285688,200.00
1,4545pd019,2,002247,285689,20191009,100000,G285689,200.00
1,4444pd054,1,600389,285690,20191009,100000,G285690,200.00
1,4848pd096,1,603578,285691,20191009,100000,G285691,200.00
1,4242pd069,1,600203,285692,20191009,100000,G285692,200.00
1,4343pd100,1,600782,285693,20191009,100000,G285693,200.00
1,4747pd082,1,603878,285694,20191009,100000,G285694,200.00
1,4242pd047,1,600107,285695,20191009,100000,G285695,200.00
1,4545pd050,2,300003,285696,20191009,100000,G285696,200.00
1,4343pd055,1,600200,285697,20191009,100000,G285697,200.00
1,4545pd009,2,002237,285698,20191009,100000,G285698,200.00
1,4040pd001,1,601188,285699,20191009,100000,G285699,200.00
1,4040pd066,2,002609,285700,20191009,100000,G285700,200.00
1,4848pd067,1,600719,285701,20191009,100000,G285701,200.00
1,4141pd1,1,600600,285702,20191009,100000,G285702,200.00
1,4242pd087,1,600279,285703,20191009,100000,G285703,200.00
1,4545pd054,2,300019,285704,20191009,100000,G285704,200.00
1,4040pd032,2,002471,285705,20191009,100000,G285705,200.00
1,4545pd099,2,002428,285706,20191009,100000,G285706,200.00
1,4242pd048,1,600111,285707,20191009,100000,G285707,200.00
1,4646pd008,2,002605,285708,20191009,100000,G285708,200.00
1,4141pd087,2,000801,285709,20191009,100000,G285709,200.00
1,4545pd073,2,002367,285710,20191009,100000,G285710,200.00
1,4343pd3,2,002103,285711,20191009,100000,G285711,200.00
1,4141pd024,2,000416,285712,20191009,100000,G285712,200.00
1,4545pd026,2,002396,285713,20191009,100000,G285713,200.00
1,4444pd087,2,002126,285714,20191009,100000,G285714,200.00
1,4141pd078,2,000751,285715,20191009,100000,G285715,200.00
1,4848pd074,2,002733,285716,20191009,100000,G285716,200.00
1,4444pd028,1,600893,285717,20191009,100000,G285717,200.00
1,4545pd018,2,002240,285718,20191009,100000,G285718,200.00
1,4242pd038,2,000726,285719,20191009,100000,G285719,200.00
1,4646pd004,2,300234,285720,20191009,100000,G285720,200.00
1,4141pd013,2,000055,285721,20191009,100000,G285721,200.00
1,4444pd079,2,002481,285722,20191009,100000,G285722,200.00
1,4141pd074,2,000726,285723,20191009,100000,G285723,200.00
1,4747pd072,1,603505,285724,20191009,100000,G285724,200.00
1,4343pd012,1,600600,285725,20191009,100000,G285725,200.00
1,4848pd076,2,002057,285726,20191009,100000,G285726,200.00
1,4141pd024,1,600107,285727,20191009,100000,G285727,200.00
1,4646pd060,1,603168,285728,20191009,100000,G285728,200.00
1,4141pd1,2,000001,285729,20191009,100000,G285729,200.00
1,4343pd090,1,600742,285730,20191009,100000,G285730,200.00
1,4343pd043,1,600546,285731,20191009,100000,G285731,200.00
1,4747pd033,1,603998,285732,20191009,100000,G285732,200.00
1,4949pd010,2,300692,285733,20191009,100000,G285733,200.00
1,4747pd033,2,300275,285734,20191009,100000,G285734,200.00
1,4545pd100,1,603829,285735,20191009,100000,G285735,200.00
1,4444pd4,1,600618,285736,20191009,100000,G285736,200.00
1,4141pd026,2,000629,285737,20191009,100000,G285737,200.00
1,4848pd057,2,300629,285738,20191009,100000,G285738,200.00
1,4646pd070,2,002113,285739,20191009,100000,G285739,200.00
1,4343pd027,1,600477,285740,20191009,100000,G285740,200.00
1,4242pd068,1,600200,285741,20191009,100000,G285741,200.00
1,4545pd032,2,300370,285742,20191009,100000,G285742,200.00
1,4747pd041,1,603868,285743,20191009,100000,G285743,200.00
1,4646pd016,2,300260,285744,20191009,100000,G285744,200.00
1,4747pd051,2,300496,285745,20191009,100000,G285745,200.00
1,4848pd058,1,600491,285746,20191009,100000,G285746,200.00
1,4747pd032,2,002733,285747,20191009,100000,G285747,200.00
1,4242pd038,1,600070,285748,20191009,100000,G285748,200.00
1,4242pd067,1,600196,285749,20191009,100000,G285749,200.00
1,4040pd023,1,600596,285750,20191009,100000,G285750,200.00
1,4343pd024,1,600462,285751,20191009,100000,G285751,200.00
1,4848pd024,2,002516,285752,20191009,100000,G285752,200.00
1,4545pd079,2,300044,285753,20191009,100000,G285753,200.00
1,4949pd072,2,002409,285754,20191009,100000,G285754,200.00
1,4040pd006,2,002440,285755,20191009,100000,G285755,200.00
1,4949pd059,1,601068,285756,20191009,100000,G285756,200.00
1,4949pd028,1,603659,285757,20191009,100000,G285757,200.00
1,4343pd093,1,600283,285758,20191009,100000,G285758,200.00
1,4242pd099,1,600330,285759,20191009,100000,G285759,200.00
1,4545pd067,1,603613,285760,20191009,100000,G285760,200.00
1,4747pd007,1,600909,285761,20191009,100000,G285761,200.00
1,4949pd051,1,603733,285762,20191009,100000,G285762,200.00
1,4242pd084,2,002807,285763,20191009,100000,G285763,200.00
1,4848pd033,1,603177,285764,20191009,100000,G285764,200.00
1,4242pd014,2,000949,285765,20191009,100000,G285765,200.00
1,4444pd068,2,002094,285766,20191009,100000,G285766,200.00
1,4848pd067,2,300645,285767,20191009,100000,G285767,200.00
1,4646pd070,1,600268,285768,20191009,100000,G285768,200.00
1,4242pd017,2,000961,285769,20191009,100000,G285769,200.00
1,4141pd078,2,000755,285770,20191009,100000,G285770,200.00
1,4444pd027,1,600636,285771,20191009,100000,G285771,200.00
1,4242pd099,1,600332,285772,20191009,100000,G285772,200.00
1,4141pd055,2,000629,285773,20191009,100000,G285773,200.00
1,4242pd088,1,600682,285774,20191009,100000,G285774,200.00
1,4646pd070,2,000858,285775,20191009,100000,G285775,200.00
1,4343pd069,1,603036,285776,20191009,100000,G285776,200.00
1,4141pd024,2,000417,285777,20191009,100000,G285777,200.00
1,4242pd099,1,600330,285778,20191009,100000,G285778,200.00
1,4242pd014,2,002549,285779,20191009,100000,G285779,200.00
1,4040pd003,2,300070,285780,20191009,100000,G285780,200.00
1,4040pd048,2,002889,285781,20191009,100000,G285781,200.00
1,4646pd079,2,002191,285782,20191009,100000,G285782,200.00
1,4848pd079,2,300635,285783,20191009,100000,G285783,200.00
1,4747pd051,1,603985,285784,20191009,100000,G285784,200.00
1,4949pd085,2,300767,285785,20191009,100000,G285785,200.00
1,4545pd084,2,300525,285786,20191009,100000,G285786,200.00
1,4040pd048,2,002889,285787,20191009,100000,G285787,200.00
1,4949pd080,2,300763,285788,20191009,100000,G285788,200.00
1,4848pd057,2,300629,285789,20191009,100000,G285789,200.00
1,4343pd063,2,000952,285790,20191009,100000,G285790,200.00
1,4343pd067,2,300402,285791,20191009,100000,G285791,200.00
1,4343pd084,1,600350,285792,20191009,100000,G285792,200.00
1,4444pd042,2,002033,285793,20191009,100000,G285793,200.00
1,4949pd075,2,002936,285794,20191009,100000,G285794,200.00
1,4545pd039,2,002299,285795,20191009,100000,G285795,200.00
1,4747pd012,2,000789,285796,20191009,100000,G285796,200.00
1,4141pd041,2,000559,285797,20191009,100000,G285797,200.00
1,4242pd009,2,000918,285798,20191009,100000,G285798,200.00
1,4040pd072,1,601116,285799,20191009,100000,G285799,200.00
1,4545pd010,2,002226,285800,20191009,100000,G285800,200.00
1,4545pd075,1,600634,285801,20191009,100000,G285801,200.00
1,4141pd044,2,000576,285802,20191009,100000,G285802,200.00
1,4343pd093,1,600754,285803,20191009,100000,G285803,200.00
1,4747pd097,1,603689,285804,20191009,100000,G285804,200.00
1,4848pd050,1,603768,285805,20191009,100000,G285805,200.00
1,4343pd067,1,600650,285806,20191009,100000,G285806,200.00
1,4949pd093,1,688015,285807,20191009,100000,G285807,200.00
1,4848pd048,1,600640,285808,20191009,100000,G285808,200.00
1,4040pd003,1,601808,285809,20191009,100000,G285809,200.00
1,4141pd017,2,000089,285810,20191009,100000,G285810,200.00
1,4949pd091,1,688018,285811,20191009,100000,G285811,200.00
1,4343pd031,1,600497,285812,20191009,100000,G285812,200.00
1,4545pd028,2,002362,285813,20191009,100000,G285813,200.00
1,4242pd027,1,600009,285814,20191009,100000,G285814,200.00
1,4646pd077,1,603555,285815,20191009,100000,G285815,200.00
1,4141pd034,2,000530,285816,20191009,100000,G285816,200.00
1,4242pd035,1,600060,285817,20191009,100000,G285817,200.00
1,4949pd058,1,600989,285818,20191009,100000,G285818,200.00
1,4040pd014,1,600982,285819,20191009,100000,G285819,200.00
1,4040pd042,1,600998,285820,20191009,100000,G285820,200.00
1,4747pd077,2,002731,285821,20191009,100000,G285821,200.00
1,4646pd091,2,002838,285822,20191009,100000,G285822,200.00
1,4343pd030,1,600491,285823,20191009,100000,G285823,200.00
1,4040pd047,2,300138,285824,20191009,100000,G285824,200.00
1,4242pd061,2,000961,285825,20191009,100000,G285825,200.00
1,4646pd010,2,002601,285826,20191009,100000,G285826,200.00
1,4949pd096,1,603613,285827,20191009,100000,G285827,200.00
1,4545pd093,2,002412,285828,20191009,100000,G285828,200.00
1,4545pd028,2,002362,285829,20191009,100000,G285829,200.00
1,4343pd056,1,603567,285830,20191009,100000,G285830,200.00
1,4141pd015,2,300666,285831,20191009,100000,G285831,200.00
1,4141pd087,2,000801,285832,20191009,100000,G285832,200.00
1,4545pd043,2,002756,285833,20191009,100000,G285833,200.00
1,4545pd029,2,002277,285834,20191009,100000,G285834,200.00
1,4646pd086,2,002721,285835,20191009,100000,G285835,200.00
1,4242pd091,1,600297,285836,20191009,100000,G285836,200.00
1,4141pd064,1,601869,285837,20191009,100000,G285837,200.00
1,4949pd019,1,600893,285838,20191009,100000,G285838,200.00
1,4545pd060,2,002336,285839,20191009,100000,G285839,200.00
1,4949pd028,1,603937,285840,20191009,100000,G285840,200.00
1,4949pd075,1,603335,285841,20191009,100000,G285841,200.00
1,4141pd078,2,000751,285842,20191009,100000,G285842,200.00
1,4949pd006,1,603978,285843,20191009,100000,G285843,200.00
1,4949pd019,1,603466,285844,20191009,100000,G285844,200.00
1,4646pd027,2,300275,285845,20191009,100000,G285845,200.00
1,4444pd023,1,600879,285846,20191009,100000,G285846,200.00
1,4444pd028,2,300427,285847,20191009,100000,G285847,200.00
1,4242pd056,1,600152,285848,20191009,100000,G285848,200.00
1,4646pd065,2,300397,285849,20191009,100000,G285849,200.00
1,4040pd073,2,300177,285850,20191009,100000,G285850,200.00
1,4949pd028,1,600113,285851,20191009,100000,G285851,200.00
1,4949pd019,1,603466,285852,20191009,100000,G285852,200.00
1,4343pd090,1,600742,285853,20191009,100000,G285853,200.00
1,4141pd056,2,000632,285854,20191009,100000,G285854,200.00
1,4444pd069,2,002383,285855,20191009,100000,G285855,200.00
1,4646pd083,2,300290,285856,20191009,100000,G285856,200.00
1,4949pd090,1,603022,285857,20191009,100000,G285857,200.00
1,4646pd036,2,300288,285858,20191009,100000,G285858,200.00
1,4242pd044,2,300211,285859,20191009,100000,G285859,200.00
1,4141pd1,1,600601,285860,20191009,100000,G285860,200.00
1,4747pd084,2,300382,285861,20191009,100000,G285861,200.00
1,4242pd096,1,600317,285862,20191009,100000,G285862,200.00
1,4848pd064,2,300590,285863,20191009,100000,G285863,200.00
1,4141pd017,2,000089,285864,20191009,100000,G285864,200.00
1,4646pd027,1,603505,285865,20191009,100000,G285865,200.00
1,4747pd033,1,603998,285866,20191009,100000,G285866,200.00
1,4343pd031,1,600496,285867,20191009,100000,G285867,200.00
1,4242pd070,1,600207,285868,20191009,100000,G285868,200.00
1,4646pd029,2,300139,285869,20191009,100000,G285869,200.00
1,4444pd060,1,603038,285870,20191009,100000,G285870,200.00
1,4848pd003,1,603398,285871,20191009,100000,G285871,200.00
1,4343pd022,2,002473,285872,20191009,100000,G285872,200.00
1,4848pd069,2,300642,285873,20191009,100000,G285873,200.00
1,4646pd069,2,300335,285874,20191009,100000,G285874,200.00
1,4848pd085,1,603203,285875,20191009,100000,G285875,200.00
1,4343pd065,1,600433,285876,20191009,100000,G285876,200.00
1,4747pd009,1,601211,285877,20191009,100000,G285877,200.00
1,4040pd033,2,002940,285878,20191009,100000,G285878,200.00
1,4646pd092,2,002563,285879,20191009,100000,G285879,200.00
1,4848pd033,1,601975,285880,20191009,100000,G285880,200.00
1,4242pd027,1,600009,285881,20191009,100000,G285881,200.00
1,4141pd095,2,300029,285882,20191009,100000,G285882,200.00
1,4747pd051,2,300496,285883,20191009,100000,G285883,200.00
1,4444pd067,1,600543,285884,20191009,100000,G285884,200.00
1,4242pd029,1,600021,285885,20191009,100000,G285885,200.00
1,4343pd019,2,300288,285886,20191009,100000,G285886,200.00
1,4545pd043,2,300254,285887,20191009,100000,G285887,200.00
1,4545pd071,1,600982,285888,20191009,100000,G285888,200.00
1,4444pd054,2,002057,285889,20191009,100000,G285889,200.00
1,4545pd009,2,002214,285890,20191009,100000,G285890,200.00
1,4343pd054,1,600592,285891,20191009,100000,G285891,200.00
1,4848pd069,1,603335,285892,20191009,100000,G285892,200.00
1,4949pd005,1,603882,285893,20191009,100000,G285893,200.00
1,4646pd046,1,601339,285894,20191009,100000,G285894,200.00
1,4242pd051,1,600125,285895,20191009,100000,G285895,200.00
1,4444pd046,2,300236,285896,20191009,100000,G285896,200.00
1,4343pd017,1,600416,285897,20191009,100000,G285897,200.00
1,4545pd060,2,002336,285898,20191009,100000,G285898,200.00
1,4949pd049,2,002931,285899,20191009,100000,G285899,200.00
1,4646pd029,2,300278,285900,20191009,100000,G285900,200.00
1,4040pd061,2,002239,285901,20191009,100000,G285901,200.00
1,4343pd022,1,600449,285902,20191009,100000,G285902,200.00
1,4343pd041,2,300609,285903,20191009,100000,G285903,200.00
1,4747pd051,2,300496,285904,20191009,100000,G285904,200.00
1,4444pd037,2,002011,285905,20191009,100000,G285905,200.00
1,4848pd076,2,000065,285906,20191009,100000,G285906,200.00
1,4242pd096,1,600320,285907,20191009,100000,G285907,200.00
1,4949pd049,2,002931,285908,20191009,100000,G285908,200.00
1,4343pd064,1,600640,285909,20191009,100000,G285909,200.00
1,4040pd087,1,601199,285910,20191009,100000,G285910,200.00
1,4848pd034,1,603488,285911,20191009,100000,G285911,200.00
1,4343pd063,2,002865,285912,20191009,100000,G285912,200.00
1,4242pd014,2,000949,285913,20191009,100000,G285913,200.00
1,4343pd072,1,600673,285914,20191009,100000,G285914,200.00
1,4949pd042,1,600721,285915,20191009,100000,G285915,200.00
1,4343pd034,1,600509,285916,20191009,100000,G285916,200.00
1,4545pd083,2,002377,285917,20191009,100000,G285917,200.00
1,4141pd044,2,300402,285918,20191009,100000,G285918,200.00
1,4444pd024,1,600879,285919,20191009,100000,G285919,200.00
1,4646pd006,2,300419,285920,20191009,100000,G285920,200.00
1,4141pd069,2,000702,285921,20191009,100000,G285921,200.00
1,4848pd098,2,300541,285922,20191009,100000,G285922,200.00
1,4343pd042,1,600540,285923,20191009,100000,G285923,200.00
1,4040pd043,2,300130,285924,20191009,100000,G285924,200.00
1,4343pd061,1,600622,285925,20191009,100000,G285925,200.00
1,4040pd007,2,300080,285926,20191009,100000,G285926,200.00
1,4040pd003,2,300070,285927,20191009,100000,G285927,200.00
1,4242pd016,2,000860,285928,20191009,100000,G285928,200.00
1,4242pd056,2,002403,285929,20191009,100000,G285929,200.00
1,4343pd093,1,600756,285930,20191009,100000,G285930,200.00
1,4343pd029,1,600488,285931,20191009,100000,G285931,200.00
1,4646pd029,1,601555,285932,20191009,100000,G285932,200.00
1,4848pd070,2,300591,285933,20191009,100000,G285933,200.00
1,4545pd069,2,002549,285934,20191009,100000,G285934,200.00
1,4545pd075,2,002285,285935,20191009,100000,G285935,200.00
1,4545pd051,2,300009,285936,20191009,100000,G285936,200.00
1,4545pd007,2,002207,285937,20191009,100000,G285937,200.00
